Area,Year,Age,Population
Fiji,2015,20--64,507.1
Finland,1970,20--64,2624.6
Finland,1975,20--64,2775.4
Finland,1980,20--64,2854.7
Finland,1985,20--64,2987.8
Finland,1990,20--64,3053.5
Finland,1995,20--64,3082.4
Finland,2000,20--64,3132.6
Finland,2005,20--64,3179.8
Finland,2010,20--64,3225.7
Finland,2015,20--64,3169.9
France,1970,20--64,27594.3
France,1975,20--64,29067.4
France,1980,20--64,30284.3
France,1985,20--64,32479.8
France,1990,20--64,33437.7
France,1995,20--64,34375.4
France,2000,20--64,34773.9
France,2005,20--64,35819.6
France,2010,20--64,36835
France,2015,20--64,36673.9
French Guiana,1970,20--64,22.7
French Guiana,1975,20--64,26.2
French Guiana,1980,20--64,34.2
French Guiana,1985,20--64,46
French Guiana,1990,20--64,61.3
French Guiana,1995,20--64,71.1
French Guiana,2000,20--64,85.1
French Guiana,2005,20--64,104.7
French Guiana,2010,20--64,121.6
French Guiana,2015,20--64,140.2
French Polynesia,1970,20--64,46.1
French Polynesia,1975,20--64,55.9
French Polynesia,1980,20--64,69.1
French Polynesia,1985,20--64,85.4
French Polynesia,1990,20--64,100.7
French Polynesia,1995,20--64,113.9
French Polynesia,2000,20--64,129
French Polynesia,2005,20--64,144.5
French Polynesia,2010,20--64,158.5
French Polynesia,2015,20--64,167.7
Gabon,1970,20--64,302.5
Gabon,1975,20--64,315.7
Gabon,1980,20--64,335.9
Gabon,1985,20--64,365.1
Gabon,1990,20--64,407.9
Gabon,1995,20--64,460.4
Gabon,2000,20--64,529.6
Gabon,2005,20--64,612
Gabon,2010,20--64,711.6
Gabon,2015,20--64,970.4
Gambia,1970,20--64,215.1
Gambia,1975,20--64,233.2
Gambia,1980,20--64,261.1
Gambia,1985,20--64,295.3
Gambia,1990,20--64,378.4
Gambia,1995,20--64,426.4
Gambia,2000,20--64,495.4
Gambia,2005,20--64,587
Gambia,2010,20--64,688.2
Gambia,2015,20--64,814.6
Georgia,1970,20--64,2474.8
Georgia,1975,20--64,2627.7
Georgia,1980,20--64,2824.8
Georgia,1985,20--64,3074.9
Georgia,1990,20--64,3192.9
Georgia,1995,20--64,2891.5
Georgia,2000,20--64,2736.9
Georgia,2005,20--64,2607.7
Georgia,2010,20--64,2598.2
Georgia,2015,20--64,2398.5
Germany,1970,20--64,44118.4
Germany,1975,20--64,44001.2
Germany,1980,20--64,44769.3
Germany,1985,20--64,47734.3
Germany,1990,20--64,50160
Germany,1995,20--64,51625.4
Germany,2000,20--64,51431.1
Germany,2005,20--64,49575.3
Germany,2010,20--64,48772.9
Germany,2015,20--64,49632.2
Ghana,1970,20--64,3628
Ghana,1975,20--64,4058.1
Ghana,1980,20--64,4437.4
Ghana,1985,20--64,5286.2
Ghana,1990,20--64,6217.9
Ghana,1995,20--64,7288.2
Ghana,2000,20--64,8403.2
Ghana,2005,20--64,9739.6
Ghana,2010,20--64,11339.6
Ghana,2015,20--64,13071.4
Greece,1970,20--64,4966
Greece,1975,20--64,5064.6
Greece,1980,20--64,5440.8
Greece,1985,20--64,5712.3
Greece,1990,20--64,6044.2
Greece,1995,20--64,6429.5
Greece,2000,20--64,6708
Greece,2005,20--64,6762.6
Greece,2010,20--64,6833.1
Greece,2015,20--64,6789.4
Grenada,1970,20--64,33.1
Grenada,1975,20--64,34.9
Grenada,1980,20--64,35.5
Grenada,1985,20--64,43.8
Grenada,1990,20--64,41.1
Grenada,1995,20--64,43.7
Grenada,2000,20--64,46.2
Grenada,2005,20--64,50.9
Grenada,2010,20--64,57.2
Grenada,2015,20--64,61.2
Guadeloupe,1970,20--64,131.4
Guadeloupe,1975,20--64,133.8
Guadeloupe,1980,20--64,154.4
Guadeloupe,1985,20--64,180.5
Guadeloupe,1990,20--64,210.4
Guadeloupe,1995,20--64,226.9
Guadeloupe,2000,20--64,248.9
Guadeloupe,2005,20--64,257.9
Guadeloupe,2010,20--64,261.6
Guadeloupe,2015,20--64,254.8
Guam,1970,20--64,42
Guam,1975,20--64,47.7
Guam,1980,20--64,54.7
Guam,1985,20--64,64
Guam,1990,20--64,74.5
Guam,1995,20--64,82.1
Guam,2000,20--64,87.2
Guam,2005,20--64,88.1
Guam,2010,20--64,89.9
Guam,2015,20--64,92.1
Guatemala,1970,20--64,2257.8
Guatemala,1975,20--64,2614.6
Guatemala,1980,20--64,2934.9
Guatemala,1985,20--64,3293
Guatemala,1990,20--64,3707.5
Guatemala,1995,20--64,4225.5
Guatemala,2000,20--64,4871.2
Guatemala,2005,20--64,5569.7
Guatemala,2010,20--64,6580.8
Guatemala,2015,20--64,7804.3
Guinea,1970,20--64,1906.9
Guinea,1975,20--64,1979.2
Guinea,1980,20--64,2027
Guinea,1985,20--64,2239
Guinea,1990,20--64,2595.4
Guinea,1995,20--64,3323.9
Guinea,2000,20--64,3699.3
Guinea,2005,20--64,4083.5
Guinea,2010,20--64,4720
Guinea,2015,20--64,5273.4
Guinea-Bissau,1970,20--64,328.8
Guinea-Bissau,1975,20--64,357.7
Guinea-Bissau,1980,20--64,380.1
Guinea-Bissau,1985,20--64,406.1
Guinea-Bissau,1990,20--64,441.1
Guinea-Bissau,1995,20--64,489
Guinea-Bissau,2000,20--64,551.7
Guinea-Bissau,2005,20--64,634.3
Guinea-Bissau,2010,20--64,727.9
Guinea-Bissau,2015,20--64,795.1
Guyana,1970,20--64,266.7
Guyana,1975,20--64,294.9
Guyana,1980,20--64,323.8
Guyana,1985,20--64,341.9
Guyana,1990,20--64,356
Guyana,1995,20--64,357.2
Guyana,2000,20--64,377.7
Guyana,2005,20--64,376.2
Guyana,2010,20--64,385.3
Guyana,2015,20--64,416.6
Haiti,1970,20--64,2083.1
Haiti,1975,20--64,2273.1
Haiti,1980,20--64,2506.6
Haiti,1985,20--64,2773.9
Haiti,1990,20--64,3062.1
Haiti,1995,20--64,3360.5
Haiti,2000,20--64,3753.2
Haiti,2005,20--64,4297.4
Haiti,2010,20--64,4881.7
Haiti,2015,20--64,5479.9
Honduras,1970,20--64,1038.5
Honduras,1975,20--64,1198.2
Honduras,1980,20--64,1412.4
Honduras,1985,20--64,1673.9
Honduras,1990,20--64,1977.5
Honduras,1995,20--64,2295.7
Honduras,2000,20--64,2647.3
Honduras,2005,20--64,3088.7
Honduras,2010,20--64,3621.3
Honduras,2015,20--64,4631.7
Hong Kong Special Administrative Region of China,1970,20--64,1905.3
Hong Kong Special Administrative Region of China,1975,20--64,2231.5
Hong Kong Special Administrative Region of China,1980,20--64,2865.3
Hong Kong Special Administrative Region of China,1985,20--64,3290.2
Hong Kong Special Administrative Region of China,1990,20--64,3608
Hong Kong Special Administrative Region of China,1995,20--64,3938.1
Hong Kong Special Administrative Region of China,2000,20--64,4410.4
Hong Kong Special Administrative Region of China,2005,20--64,4599.5
Hong Kong Special Administrative Region of China,2010,20--64,4820.3
Hong Kong Special Administrative Region of China,2015,20--64,4972.8
Hungary,1970,20--64,6059
Hungary,1975,20--64,6268.8
Hungary,1980,20--64,6295.6
Hungary,1985,20--64,6302.8
Hungary,1990,20--64,6090.7
Hungary,1995,20--64,6140.7
Hungary,2000,20--64,6290.1
Hungary,2005,20--64,6312.7
Hungary,2010,20--64,6272.5
Hungary,2015,20--64,6144.8
Iceland,1970,20--64,99.7
Iceland,1975,20--64,110
Iceland,1980,20--64,120.3
Iceland,1985,20--64,132.6
Iceland,1990,20--64,142.9
Iceland,1995,20--64,151.1
Iceland,2000,20--64,161.7
Iceland,2005,20--64,174.6
Iceland,2010,20--64,189.4
Iceland,2015,20--64,196
India,1970,20--64,251345.1
India,1975,20--64,286003.8
India,1980,20--64,326038.5
India,1985,20--64,370665.6
India,1990,20--64,419123.2
India,1995,20--64,472898.2
India,2000,20--64,532389.3
India,2005,20--64,598713.1
India,2010,20--64,668339.1
India,2015,20--64,736852.6
Indonesia,1970,20--64,50488.2
Indonesia,1975,20--64,56748.5
Indonesia,1980,20--64,65498.1
Indonesia,1985,20--64,76316.1
Indonesia,1990,20--64,88541.2
Indonesia,1995,20--64,101251.9
Indonesia,2000,20--64,114412.8
Indonesia,2005,20--64,125588
Indonesia,2010,20--64,138612.3
Indonesia,2015,20--64,150607.7
Iran (Islamic Republic of),1970,20--64,11917.8
Iran (Islamic Republic of),1975,20--64,13942.2
Iran (Islamic Republic of),1980,20--64,16587.2
Iran (Islamic Republic of),1985,20--64,19658.3
Iran (Islamic Republic of),1990,20--64,23025
Iran (Islamic Republic of),1995,20--64,25776
Iran (Islamic Republic of),2000,20--64,31283.9
Iran (Islamic Republic of),2005,20--64,39113.1
Iran (Islamic Republic of),2010,20--64,46035.1
Iran (Islamic Republic of),2015,20--64,51120.6
Iraq,1970,20--64,4009
Iraq,1975,20--64,4687.2
Iraq,1980,20--64,5323.9
Iraq,1985,20--64,5959.6
Iraq,1990,20--64,6756.3
Iraq,1995,20--64,8191.9
Iraq,2000,20--64,10009.1
Iraq,2005,20--64,11820.9
Iraq,2010,20--64,13675.5
Iraq,2015,20--64,16519.3
Ireland,1970,20--64,1436.1
Ireland,1975,20--64,1570
Ireland,1980,20--64,1694.1
Ireland,1985,20--64,1799.1
Ireland,1990,20--64,1837.9
Ireland,1995,20--64,2009.7
Ireland,2000,20--64,2266.5
Ireland,2005,20--64,2610.6
Ireland,2010,20--64,2870.7
Ireland,2015,20--64,2786.6
Israel,1970,20--64,1420.1
Israel,1975,20--64,1678.7
Israel,1980,20--64,1858.2
Israel,1985,20--64,2038.2
Israel,1990,20--64,2263.7
Israel,1995,20--64,2771.3
Israel,2000,20--64,3194.1
Israel,2005,20--64,3566.2
Israel,2010,20--64,4060.9
Israel,2015,20--64,4287.2
Italy,1970,20--64,30485.3
Italy,1975,20--64,31108.2
Italy,1980,20--64,31893.6
Italy,1985,20--64,33987.9
Italy,1990,20--64,34865.9
Italy,1995,20--64,35551.2
Italy,2000,20--64,35555.7
Italy,2005,20--64,36049
Italy,2010,20--64,36175.8
Italy,2015,20--64,35241
Jamaica,1970,20--64,722
Jamaica,1975,20--64,750.7
Jamaica,1980,20--64,886
Jamaica,1985,20--64,1008.7
Jamaica,1990,20--64,1111.9
Jamaica,1995,20--64,1215.3
Jamaica,2000,20--64,1299.4
Jamaica,2005,20--64,1433.4
Jamaica,2010,20--64,1541.1
Jamaica,2015,20--64,1654
Japan,1970,20--64,62218.7
Japan,1975,20--64,67219.6
Japan,1980,20--64,69917
Japan,1985,20--64,72921.1
Japan,1990,20--64,75258.1
Japan,1995,20--64,78064.6
Japan,2000,20--64,78249.8
Japan,2005,20--64,77667.7
Japan,2010,20--64,75133.6
Japan,2015,20--64,72070.8
Jordan,1970,20--64,685.7
Jordan,1975,20--64,796.5
Jordan,1980,20--64,835
Jordan,1985,20--64,1053.8
Jordan,1990,20--64,1283.8
Jordan,1995,20--64,1937.4
Jordan,2000,20--64,2183
Jordan,2005,20--64,2571.4
Jordan,2010,20--64,3225.5
Jordan,2015,20--64,4592.8
Kazakhstan,1970,20--64,6188.6
Kazakhstan,1975,20--64,6860.1
Kazakhstan,1980,20--64,7591.6
Kazakhstan,1985,20--64,8400.7
Kazakhstan,1990,20--64,8918
Kazakhstan,1995,20--64,8618.3
Kazakhstan,2000,20--64,8384.9
Kazakhstan,2005,20--64,8859.5
Kazakhstan,2010,20--64,9770
Kazakhstan,2015,20--64,10667.5
Kenya,1970,20--64,4166.9
Kenya,1975,20--64,4926.5
Kenya,1980,20--64,5919.6
Kenya,1985,20--64,7182.5
Kenya,1990,20--64,8737.8
Kenya,1995,20--64,10759.9
Kenya,2000,20--64,12678.4
Kenya,2005,20--64,14993.2
Kenya,2010,20--64,17782.6
Kenya,2015,20--64,21323
Kiribati,1970,20--64,20.8
Kiribati,1975,20--64,23.7
Kiribati,1980,20--64,26.8
Kiribati,1985,20--64,29
Kiribati,1990,20--64,34.3
Kiribati,1995,20--64,35.6
Kiribati,2000,20--64,39
Kiribati,2005,20--64,44.2
Kiribati,2010,20--64,51.1
Kiribati,2015,20--64,57.1
Kuwait,1970,20--64,352.2
Kuwait,1975,20--64,461.9
Kuwait,1980,20--64,685.2
Kuwait,1985,20--64,928.2
Kuwait,1990,20--64,1099.1
Kuwait,1995,20--64,1009.3
Kuwait,2000,20--64,1212.8
Kuwait,2005,20--64,1459.2
Kuwait,2010,20--64,2068.6
Kuwait,2015,20--64,2814.4
Kyrgyzstan,1970,20--64,1263.5
Kyrgyzstan,1975,20--64,1416.9
Kyrgyzstan,1980,20--64,1662.8
Kyrgyzstan,1985,20--64,1930.4
Kyrgyzstan,1990,20--64,2093.9
Kyrgyzstan,1995,20--64,2165.5
Kyrgyzstan,2000,20--64,2427.4
Kyrgyzstan,2005,20--64,2649.2
Kyrgyzstan,2010,20--64,2976.8
Kyrgyzstan,2015,20--64,3277.6
Lao People's Democratic Republic,1970,20--64,1188.1
Lao People's Democratic Republic,1975,20--64,1342.8
Lao People's Democratic Republic,1980,20--64,1355.4
Lao People's Democratic Republic,1985,20--64,1519.8
Lao People's Democratic Republic,1990,20--64,1758.6
Lao People's Democratic Republic,1995,20--64,2017.8
Lao People's Democratic Republic,2000,20--64,2256.2
Lao People's Democratic Republic,2005,20--64,2521.1
Lao People's Democratic Republic,2010,20--64,2985.1
Lao People's Democratic Republic,2015,20--64,3444.4
Latvia,1970,20--64,1403.9
Latvia,1975,20--64,1439.5
Latvia,1980,20--64,1488.2
Latvia,1985,20--64,1558.3
Latvia,1990,20--64,1593
Latvia,1995,20--64,1469.2
Latvia,2000,20--64,1414.1
Latvia,2005,20--64,1345.4
Latvia,2010,20--64,1282.5
Latvia,2015,20--64,1219.9
Lebanon,1970,20--64,966.4
Lebanon,1975,20--64,1132.6
Lebanon,1980,20--64,1158.1
Lebanon,1985,20--64,1277.6
Lebanon,1990,20--64,1345.8
Lebanon,1995,20--64,1580.5
Lebanon,2000,20--64,1765.8
Lebanon,2005,20--64,2174.5
Lebanon,2010,20--64,2500.2
Lebanon,2015,20--64,3413.7
Lesotho,1970,20--64,423.7
Lesotho,1975,20--64,465.2
Lesotho,1980,20--64,532.1
Lesotho,1985,20--64,593.2
Lesotho,1990,20--64,650.5
Lesotho,1995,20--64,741.3
Lesotho,2000,20--64,788.5
Lesotho,2005,20--64,841.2
Lesotho,2010,20--64,923.7
Lesotho,2015,20--64,1052.7
Liberia,1970,20--64,626.9
Liberia,1975,20--64,703.2
Liberia,1980,20--64,801.4
Liberia,1985,20--64,915.7
Liberia,1990,20--64,873.3
Liberia,1995,20--64,876.5
Liberia,2000,20--64,1236.6
Liberia,2005,20--64,1411.6
Liberia,2010,20--64,1721.6
Liberia,2015,20--64,1980.8
Libyan Arab Jamahiriya,1970,20--64,886.8
Libyan Arab Jamahiriya,1975,20--64,1059.9
Libyan Arab Jamahiriya,1980,20--64,1274.2
Libyan Arab Jamahiriya,1985,20--64,1602.1
Libyan Arab Jamahiriya,1990,20--64,1924.2
Libyan Arab Jamahiriya,1995,20--64,2327.9
Libyan Arab Jamahiriya,2000,20--64,2725.2
Libyan Arab Jamahiriya,2005,20--64,3177.3
Libyan Arab Jamahiriya,2010,20--64,3558.9
Libyan Arab Jamahiriya,2015,20--64,3645.8
Lithuania,1970,20--64,1731.3
Lithuania,1975,20--64,1811.4
Lithuania,1980,20--64,1949.8
Lithuania,1985,20--64,2105.6
Lithuania,1990,20--64,2184.9
Lithuania,1995,20--64,2138.6
Lithuania,2000,20--64,2052.8
Lithuania,2005,20--64,1985.9
Lithuania,2010,20--64,1888.9
Lithuania,2015,20--64,1786.7
Luxembourg,1970,20--64,197.4
Luxembourg,1975,20--64,207.4
Luxembourg,1980,20--64,218.1
Luxembourg,1985,20--64,229.1
Luxembourg,1990,20--64,242.2
Luxembourg,1995,20--64,253.9
Luxembourg,2000,20--64,267.9
Luxembourg,2005,20--64,279.8
Luxembourg,2010,20--64,317
Luxembourg,2015,20--64,360.8
Macao Special Administrative Region of China,1970,20--64,103.5
Macao Special Administrative Region of China,1975,20--64,119.7
Macao Special Administrative Region of China,1980,20--64,136.9
Macao Special Administrative Region of China,1985,20--64,173.6
Macao Special Administrative Region of China,1990,20--64,219.8
Macao Special Administrative Region of China,1995,20--64,242.4
Macao Special Administrative Region of China,2000,20--64,267.5
Macao Special Administrative Region of China,2005,20--64,315.9
Macao Special Administrative Region of China,2010,20--64,389.7
Macao Special Administrative Region of China,2015,20--64,443.2
Madagascar,1970,20--64,2686.8
Madagascar,1975,20--64,3029.3
Madagascar,1980,20--64,3488.8
Madagascar,1985,20--64,4060.4
Madagascar,1990,20--64,4723.1
Madagascar,1995,20--64,5554.9
Madagascar,2000,20--64,6563.2
Madagascar,2005,20--64,7626.8
Madagascar,2010,20--64,9025.1
Madagascar,2015,20--64,10752.2
Malawi,1970,20--64,1925.4
Malawi,1975,20--64,2164.5
Malawi,1980,20--64,2468.9
Malawi,1985,20--64,2840.5
Malawi,1990,20--64,3850.1
Malawi,1995,20--64,3905.7
Malawi,2000,20--64,4402.9
Malawi,2005,20--64,4959.6
Malawi,2010,20--64,5811
Malawi,2015,20--64,7215.1
Malaysia,1970,20--64,4469.8
Malaysia,1975,20--64,5282.9
Malaysia,1980,20--64,6284.1
Malaysia,1985,20--64,7447
Malaysia,1990,20--64,8968
Malaysia,1995,20--64,10518.1
Malaysia,2000,20--64,12402.6
Malaysia,2005,20--64,14146.6
Malaysia,2010,20--64,16059
Malaysia,2015,20--64,18355.5
Maldives,1970,20--64,50.3
Maldives,1975,20--64,57
Maldives,1980,20--64,65.2
Maldives,1985,20--64,76.7
Maldives,1990,20--64,88
Maldives,1995,20--64,101.9
Maldives,2000,20--64,120.1
Maldives,2005,20--64,148.2
Maldives,2010,20--64,214.9
Maldives,2015,20--64,272
Mali,1970,20--64,2671.9
Mali,1975,20--64,2855
Mali,1980,20--64,3019.1
Mali,1985,20--64,3208.1
Mali,1990,20--64,3283.8
Mali,1995,20--64,3730.1
Mali,2000,20--64,4326.7
Mali,2005,20--64,5126.9
Mali,2010,20--64,6016
Mali,2015,20--64,6815.2
Malta,1970,20--64,154.4
Malta,1975,20--64,167.8
Malta,1980,20--64,183.6
Malta,1985,20--64,200.6
Malta,1990,20--64,209
Malta,1995,20--64,219
Malta,2000,20--64,233.3
Malta,2005,20--64,240.9
Malta,2010,20--64,251.3
Malta,2015,20--64,263.4
Martinique,1970,20--64,139.4
Martinique,1975,20--64,135.3
Martinique,1980,20--64,158.5
Martinique,1985,20--64,178.1
Martinique,1990,20--64,200.1
Martinique,1995,20--64,209.5
Martinique,2000,20--64,226.8
Martinique,2005,20--64,227.4
Martinique,2010,20--64,230
Martinique,2015,20--64,222.7
Mauritania,1970,20--64,475.8
Mauritania,1975,20--64,542.4
Mauritania,1980,20--64,628.5
Mauritania,1985,20--64,729.4
Mauritania,1990,20--64,838.4
Mauritania,1995,20--64,969.5
Mauritania,2000,20--64,1161.8
Mauritania,2005,20--64,1379.9
Mauritania,2010,20--64,1631.9
Mauritania,2015,20--64,1939.6
Mauritius,1970,20--64,351.8
Mauritius,1975,20--64,410.4
Mauritius,1980,20--64,477.2
Mauritius,1985,20--64,531.1
Mauritius,1990,20--64,588.5
Mauritius,1995,20--64,654.8
Mauritius,2000,20--64,705
Mauritius,2005,20--64,743.3
Mauritius,2010,20--64,773.9
Mauritius,2015,20--64,795.4
Mayotte,1970,20--64,14.2
Mayotte,1975,20--64,16.8
Mayotte,1980,20--64,20.1
Mayotte,1985,20--64,26.7
Mayotte,1990,20--64,36.3
Mayotte,1995,20--64,49.5
Mayotte,2000,20--64,62.7
Mayotte,2005,20--64,76.5
Mayotte,2010,20--64,91.1
Mayotte,2015,20--64,106
Mexico,1970,20--64,20247.2
Mexico,1975,20--64,23757.7
Mexico,1980,20--64,27805.3
Mexico,1985,20--64,32508
Mexico,1990,20--64,38170.3
Mexico,1995,20--64,45333.3
Mexico,2000,20--64,51765.3
Mexico,2005,20--64,57480.8
Mexico,2010,20--64,64598
Mexico,2015,20--64,71388.7
Micronesia (Federated States of),1970,20--64,24.1
Micronesia (Federated States of),1975,20--64,23.4
Micronesia (Federated States of),1980,20--64,28.1
Micronesia (Federated States of),1985,20--64,33.6
Micronesia (Federated States of),1990,20--64,39.4
Micronesia (Federated States of),1995,20--64,44.4
Micronesia (Federated States of),2000,20--64,46.7
Micronesia (Federated States of),2005,20--64,47.5
Micronesia (Federated States of),2010,20--64,48.3
Micronesia (Federated States of),2015,20--64,51.3
Mongolia,1970,20--64,539.1
Mongolia,1975,20--64,595.9
Mongolia,1980,20--64,683.4
Mongolia,1985,20--64,813.6
Mongolia,1990,20--64,966.2
Mongolia,1995,20--64,1074.7
Mongolia,2000,20--64,1205.7
Mongolia,2005,20--64,1382.7
Mongolia,2010,20--64,1602.9
Mongolia,2015,20--64,1775.7
Montenegro,1970,20--64,256.6
Montenegro,1975,20--64,286.8
Montenegro,1980,20--64,316
Montenegro,1985,20--64,354.7
Montenegro,1990,20--64,355.5
Montenegro,1995,20--64,366.1
Montenegro,2000,20--64,361.6
Montenegro,2005,20--64,365.3
Montenegro,2010,20--64,375.8
Montenegro,2015,20--64,383.2
Morocco,1970,20--64,6163.1
Morocco,1975,20--64,6946.8
Morocco,1980,20--64,8275.7
Morocco,1985,20--64,9837.1
Morocco,1990,20--64,11371.3
Morocco,1995,20--64,12857
Morocco,2000,20--64,14437.7
Morocco,2005,20--64,16191.8
Morocco,2010,20--64,17995.4
Morocco,2015,20--64,19991
Mozambique,1970,20--64,4045.5
Mozambique,1975,20--64,4481.5
Mozambique,1980,20--64,5108
Mozambique,1985,20--64,5446.3
Mozambique,1990,20--64,5141.9
Mozambique,1995,20--64,6597.9
Mozambique,2000,20--64,7537.2
Mozambique,2005,20--64,8643.2
Mozambique,2010,20--64,9842.4
Mozambique,2015,20--64,11443.2
Myanmar,1970,20--64,11779.6
Myanmar,1975,20--64,13406.9
Myanmar,1980,20--64,15326
Myanmar,1985,20--64,17455.6
Myanmar,1990,20--64,19882.9
Myanmar,1995,20--64,22171.2
Myanmar,2000,20--64,24896.9
Myanmar,2005,20--64,27287.4
Myanmar,2010,20--64,29006.7
Myanmar,2015,20--64,30162.9
Namibia,1970,20--64,336.6
Namibia,1975,20--64,381.7
Namibia,1980,20--64,401.9
Namibia,1985,20--64,445.8
Namibia,1990,20--64,590.8
Namibia,1995,20--64,720.8
Namibia,2000,20--64,865.5
Namibia,2005,20--64,926.7
Namibia,2010,20--64,1028.8
Namibia,2015,20--64,1176.5
Nepal,1970,20--64,5444.1
Nepal,1975,20--64,6072
Nepal,1980,20--64,6736.7
Nepal,1985,20--64,7442.9
Nepal,1990,20--64,8203.3
Nepal,1995,20--64,9447.2
Nepal,2000,20--64,10608.6
Nepal,2005,20--64,11614.8
Nepal,2010,20--64,12646.1
Nepal,2015,20--64,14508.7
Netherlands,1970,20--64,6993.5
Netherlands,1975,20--64,7501.9
Netherlands,1980,20--64,8063.8
Netherlands,1985,20--64,8677.9
Netherlands,1990,20--64,9238.4
Netherlands,1995,20--64,9681.5
Netherlands,2000,20--64,9884.3
Netherlands,2005,20--64,10072.7
Netherlands,2010,20--64,10152.2
Netherlands,2015,20--64,10055.2
New Caledonia,1970,20--64,51.6
New Caledonia,1975,20--64,62.7
New Caledonia,1980,20--64,70.1
New Caledonia,1985,20--64,77.7
New Caledonia,1990,20--64,87.8
New Caledonia,1995,20--64,104.6
New Caledonia,2000,20--64,118.4
New Caledonia,2005,20--64,132.2
New Caledonia,2010,20--64,144.2
New Caledonia,2015,20--64,160.4
New Zealand,1970,20--64,1423.3
New Zealand,1975,20--64,1592.6
New Zealand,1980,20--64,1671.3
New Zealand,1985,20--64,1823.4
New Zealand,1990,20--64,1937.8
New Zealand,1995,20--64,2133.8
New Zealand,2000,20--64,2250.1
New Zealand,2005,20--64,2440.4
New Zealand,2010,20--64,2583.3
New Zealand,2015,20--64,2698.2
Nicaragua,1970,20--64,913.8
Nicaragua,1975,20--64,1083.7
Nicaragua,1980,20--64,1285.4
Nicaragua,1985,20--64,1467.2
Nicaragua,1990,20--64,1658.5
Nicaragua,1995,20--64,1929.9
Nicaragua,2000,20--64,2243.7
Nicaragua,2005,20--64,2592.3
Nicaragua,2010,20--64,2964.9
Nicaragua,2015,20--64,3342
Niger,1970,20--64,1777.1
Niger,1975,20--64,2061.9
Niger,1980,20--64,2431.7
Niger,1985,20--64,2712.1
Niger,1990,20--64,3196.3
Niger,1995,20--64,3719
Niger,2000,20--64,4496.3
Niger,2005,20--64,5237.4
Niger,2010,20--64,6137.8
Niger,2015,20--64,7346.6
Nigeria,1970,20--64,25084
Nigeria,1975,20--64,27845
Nigeria,1980,20--64,31858.9
Nigeria,1985,20--64,35471.6
Nigeria,1990,20--64,40033.2
Nigeria,1995,20--64,45720.5
Nigeria,2000,20--64,52574.2
Nigeria,2005,20--64,60221
Nigeria,2010,20--64,68674.5
Nigeria,2015,20--64,77647.1
Norway,1970,20--64,2126.3
Norway,1975,20--64,2196.7
Norway,1980,20--64,2263.2
Norway,1985,20--64,2334.4
Norway,1990,20--64,2431.1
Norway,1995,20--64,2546.1
Norway,2000,20--64,2645.8
Norway,2005,20--64,2741.1
Norway,2010,20--64,2914.5
Norway,2015,20--64,3091.5
Occupied Palestinian Territory,1970,20--64,426.7
Occupied Palestinian Territory,1975,20--64,491.1
Occupied Palestinian Territory,1980,20--64,555
Occupied Palestinian Territory,1985,20--64,663.5
Occupied Palestinian Territory,1990,20--64,807.3
Occupied Palestinian Territory,1995,20--64,1008.8
Occupied Palestinian Territory,2000,20--64,1267.9
Occupied Palestinian Territory,2005,20--64,1457.3
Occupied Palestinian Territory,2010,20--64,1741
Occupied Palestinian Territory,2015,20--64,2122.6
Oman,1970,20--64,293.3
Oman,1975,20--64,362
Oman,1980,20--64,493.8
Oman,1985,20--64,648
Oman,1990,20--64,800.4
Oman,1995,20--64,1072.7
Oman,2000,20--64,1109.7
Oman,2005,20--64,1309.6
Oman,2010,20--64,1909.7
Oman,2015,20--64,2935.2
Pakistan,1970,20--64,26093.8
Pakistan,1975,20--64,28981
Pakistan,1980,20--64,33576.4
Pakistan,1985,20--64,39861
Pakistan,1990,20--64,46361.9
Pakistan,1995,20--64,52849.8
Pakistan,2000,20--64,60949
Pakistan,2005,20--64,71058.2
Pakistan,2010,20--64,82650.2
Pakistan,2015,20--64,95229.9
Panama,1970,20--64,633.6
Panama,1975,20--64,739.2
Panama,1980,20--64,868.8
Panama,1985,20--64,1023.2
Panama,1990,20--64,1198.2
Panama,1995,20--64,1395.8
Panama,2000,20--64,1600.4
Panama,2005,20--64,1805.5
Panama,2010,20--64,2013.6
Panama,2015,20--64,2220.2
Papua New Guinea,1970,20--64,1089.1
Papua New Guinea,1975,20--64,1240.1
Papua New Guinea,1980,20--64,1425.6
Papua New Guinea,1985,20--64,1649
Papua New Guinea,1990,20--64,1908.7
Papua New Guinea,1995,20--64,2219.9
Papua New Guinea,2000,20--64,2585.1
Papua New Guinea,2005,20--64,2995.3
Papua New Guinea,2010,20--64,3430.9
Papua New Guinea,2015,20--64,3907.1
Paraguay,1970,20--64,969
Paraguay,1975,20--64,1146.7
Paraguay,1980,20--64,1355.6
Paraguay,1985,20--64,1604.4
Paraguay,1990,20--64,1882.3
Paraguay,1995,20--64,2148.5
Paraguay,2000,20--64,2460.7
Paraguay,2005,20--64,2831.4
Paraguay,2010,20--64,3182.2
Paraguay,2015,20--64,3554.7
Peru,1970,20--64,5579.1
Peru,1975,20--64,6457
Peru,1980,20--64,7481.3
Peru,1985,20--64,8767.1
Peru,1990,20--64,10204.3
Peru,1995,20--64,11661.8
Peru,2000,20--64,13081
Peru,2005,20--64,14466.8
Peru,2010,20--64,16072
Peru,2015,20--64,17705.6
Philippines,1970,20--64,14111.1
Philippines,1975,20--64,16906.7
